visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48423,43.042081,-83.522225,2,2,5,1,15,75.5,2,3,4,155.95,576.64,1398.05,347,1178,4592
48426,43.513804,-83.060524,1,1,15.25,1.75,7,101.5,3.2,4,5.5,154.76,283.28,1499.64,3,13,70
48427,43.527078,-82.724196,2,2,3,4,22.5,39,1,1.5,3,450.9,620.17,990.07,10,19,47
48428,42.938388,-83.159141,2,2,5,0,19.5,127,1,2,4,294.95,668.77,1364.45,50,144,626
48429,42.896578,-84.007317,2,3,5,1.5,22,87.5,2,3,5,173.73,263.73,972.23,100,359,1292
48430,42.770416,-83.746551,2,4,6,3,29.5,131,2,3,4,209.03,370.38,1499.28,620,2086,10084
48432,43.899936,-82.979258,1,1,1,175,175,175,14,14,14,266.2,266.2,266.2,1,14,14
48433,43.080958,-83.860679,2,4,5,4,40.5,135,2,3,4,151.68,256.42,918.76,358,1193,5248
48434,43.660744,-82.612387,2,4,6,5,17,29,3,3.5,4,303.64,602.88,902.12,2,7,30
48435,43.234248,-83.337093,2,5.5,10,0,46,127,2,2,3,135.42,135.42,841.37,42,116,602
48436,42.87618,-83.875287,2,4,6.5,6.5,28.5,59.5,2,3,4,174.41,272.4,801.73,52,171,772
48437,43.109226,-83.623205,4,4,4.75,38.25,116,143.8,2.2,3,3.8,147.33,147.33,337.12,11,44,263
48438,42.91874,-83.467346,2,4,7,5,59,154,2,3,6.2,242.59,301.4,878.56,134,532,2679
48439,42.921026,-83.647429,2,3,5,3,26,92,2,3,5,261.21,459.99,1599.78,495,1990,7743
48440,42.952923,-83.404761,10,10,10,15,57.5,100,7,7,7,165.64,165.64,165.64,2,14,140
48441,43.801688,-82.733578,2,2,4,0,6,174,1.2,3,7,259.59,589.51,1158.08,44,178,526
48442,42.78005,-83.58628,2,2,5,0,8,74,2,3,4,296.1,797.02,1480.04,396,1400,5540
48444,43.064294,-83.049026,2,3,6,3,33.5,119,1,2,4,159.21,314.48,829.8,118,306,1563
48445,43.95332,-83.002851,2,2,3.5,3.5,9,11.5,1,1,1.8,73.03,2233.81,2236.67,7,9,21
48446,43.05416,-83.330114,2,3,5,0,19.5,110,1,3,4,222.59,781.04,1504.5,342,1032,4128
48449,42.997556,-83.948507,2,2,2,0,5.5,103,2,4,7,258.32,680.07,1118.51,46,243,557
48450,43.256228,-82.537755,2,2,4,1,11,86.8,1,2.5,6,157.45,461.84,1802.86,107,408,1398
48451,42.794146,-83.829417,2,2,4,3,20.5,94,2,3,5,256.66,681.63,1790.48,174,629,2035
48453,43.356445,-83.002646,2,3.5,5.5,30,92,169.8,1,2,4,290.87,297.13,513.82,21,80,238
48454,43.20475,-82.821642,2.5,4,5.25,0,14,55.2,2,5,6,782.21,1107.58,1309.21,9,35,145
48455,42.943192,-83.301832,2,3,4,2,15,98.3,1,2,4,299.91,681.56,1319.39,91,301,1011
48457,43.21973,-83.932924,2,3,6,1,11,39,2,3,4,137.33,141.23,750.07,78,248,2420
48458,43.125755,-83.686085,2,3,5.25,0,13,54,2,3,5,145.58,145.58,413.91,113,447,1721
48460,43.109841,-83.989657,1,2,6,3,11.5,50.5,1,2,3,150.18,171.88,1038.16,24,44,160
48461,43.211076,-83.222825,1,3,5.5,0,12,64.2,1.5,3,4,139.79,286.02,1229.74,81,261,1005
48462,42.844753,-83.425758,2,3,6,9,42.5,149,2,3,4,300.04,638.06,1431.18,326,1051,5107
48463,43.161388,-83.529922,2,2,4,0,16,76.8,1.2,2,3.7,171.71,833.03,1831.16,89,271,868
48464,43.2109,-83.410638,2,2,3,1.5,21.5,74,3,4,13,770.18,1048.76,1470.8,44,295,693
48465,43.615018,-82.707496,4,4.5,6,153,171.5,181,3,3,5,117.06,117.06,117.06,18,67,398
48466,43.274933,-82.812304,2,2,3,0,12,184,3,4,5,435.39,1834.26,1834.26,10,47,106
48467,44.003477,-82.968826,2,2.5,5,0,6,69,2,2,4,71.01,928.96,1149.68,22,73,268
48468,43.951838,-82.773679,1,2,2,0,0,1.7,3,4,6.5,949.9,1536.62,1802.12,15,66,102
48469,43.453624,-82.556422,2,2,3,0,0,46.5,1,2,3,921.33,1195.03,1515.99,20,54,142
48470,43.743732,-82.759703,2,2,2,3,3.5,4,1,1,1,2635.28,2648.37,2661.46,2,2,4
48471,43.430359,-82.868868,3,5,6,3,50,169,1,3,3,127.05,127.05,640.19,19,43,228
48472,43.518659,-82.951368,2,2,2,0,6.5,62,1,3,4,785.16,1510.35,1827.52,6,16,32
48473,42.942303,-83.829876,2,2,5,2,19,93,2,3,4,166.71,269.36,1113.28,273,914,3022
48475,43.623512,-82.947408,2.5,4.5,5,14,111,144.5,2,3,3.5,247.1,266.09,414.61,8,22,102
48476,42.937555,-84.031648,2,2,2,12,12,12,2,2,2,258.95,258.95,258.95,1,2,4
48480,42.92595,-83.63261,2,4.5,7,0,0,0,1,1,1,380.74,596.88,813.02,2,2,9
48501,43.0125,-83.6878,25,25,25,18,18,18,2,2,2,271.73,271.73,271.73,1,2,50
48502,43.014945,-83.687858,2,2,2,4,14.5,29,1,1,1.5,816.8,1035.11,1251.1,8,10,32
48503,43.011689,-83.684772,2,2,4,0,11,62.2,1,2,3,158.25,271.97,842.86,121,261,820
48504,43.052966,-83.757705,2,4,8,1,24.5,93,2,2,3,153.96,214.67,1839.37,48,143,781
48505,43.064718,-83.691229,1.25,2,2,1,4,33.3,1.2,2,2,296.57,729.14,2094.42,3,5,8
48506,43.064955,-83.622158,2,3,7.5,2.5,26,118.5,2,2,5,152.25,442,854.17,112,356,1587
48507,42.959289,-83.711557,2,2,4,0,6.5,59.5,2,3,4,164.14,410.14,1162.91,172,645,2191
