,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26480,2143,282,702,860,175,124,230,156,128,26,0,102,28,0,0,0,0,28,9,19,0,74,71,20,0,51,3,0,0,0,0,3,0,0,3,76524
26481,828,114,282,243,125,64,65,11,8,0,0,8,3,3,0,3,0,0,0,0,0,54,44,0,0,44,10,10,3,0,7,0,0,0,0,76525
26482,2691,437,843,969,301,141,296,102,100,18,0,82,2,2,0,2,0,0,0,0,0,194,191,69,0,122,3,3,0,0,3,0,0,0,0,76527
26483,12760,2390,4671,3847,1241,611,849,384,281,72,0,209,103,57,35,0,22,46,0,25,21,465,349,134,1,214,116,96,40,8,48,20,20,0,0,76528
26484,1770,335,619,534,173,109,96,68,57,8,0,49,11,11,8,0,3,0,0,0,0,28,23,5,0,18,5,0,0,0,0,5,0,0,5,76530
26485,3502,579,1289,1053,450,131,158,45,45,18,0,27,0,0,0,0,0,0,0,0,0,113,101,23,0,78,12,12,0,0,12,0,0,0,0,76531
26486,1456,194,596,478,153,35,119,78,59,16,0,43,19,19,10,0,9,0,0,0,0,41,32,0,0,32,9,9,9,0,0,0,0,0,0,76534
26487,2537,515,825,929,151,117,164,98,78,32,16,30,20,17,0,9,8,3,0,0,3,66,66,15,0,51,0,0,0,0,0,0,0,0,0,76537
26488,564,42,213,212,82,15,103,52,52,5,0,47,0,0,0,0,0,0,0,0,0,51,51,0,3,48,0,0,0,0,0,0,0,0,0,76538
26489,5252,406,1433,2587,499,327,474,237,223,36,14,173,14,0,0,0,0,14,0,0,14,237,147,24,0,123,90,90,24,0,66,0,0,0,0,76539
26490,11849,1999,3936,4615,1020,279,887,446,336,92,10,234,110,110,100,0,10,0,0,0,0,441,176,87,15,74,265,195,99,0,96,70,16,22,32,76541
26491,23863,1471,6353,10375,3773,1891,2130,1182,1093,197,61,835,89,89,64,0,25,0,0,0,0,948,734,244,131,359,214,214,115,10,89,0,0,0,0,76542
26492,16694,1491,5754,7313,1435,701,1102,693,446,131,72,243,247,130,104,26,0,117,0,37,80,409,298,41,37,220,111,111,93,0,18,0,0,0,0,76543
26493,11655,531,3144,6462,1144,374,2344,1545,407,97,16,294,1138,1070,934,0,136,68,13,0,55,799,381,98,46,237,418,356,231,4,121,62,0,0,62,76544
26494,15890,1592,3756,6158,2870,1514,1791,1022,724,166,101,457,298,284,135,33,116,14,14,0,0,769,660,154,0,506,109,88,35,0,53,21,21,0,0,76548
26495,25749,1772,6313,12873,3600,1191,2755,1483,1199,276,140,783,284,95,95,0,0,189,83,0,106,1272,1065,74,275,716,207,166,32,0,134,41,0,10,31,76549
26496,7977,1530,2455,2326,1082,584,665,384,205,0,0,205,179,102,47,37,18,77,15,50,12,281,209,21,36,152,72,62,7,55,0,10,0,0,10,76550
26497,1248,117,495,453,110,73,125,66,60,12,6,42,6,6,6,0,0,0,0,0,0,59,59,20,0,39,0,0,0,0,0,0,0,0,0,76554
26498,1046,158,442,294,98,54,85,58,30,6,4,20,28,19,19,0,0,9,0,0,9,27,19,1,0,18,8,0,0,0,0,8,0,0,8,76556
