CustZip,visitorzip_lat,visitorzip_lon,per_family_annual_income,non_hs_educated,PopulationRaceWhite,Dist_to_park,util_days,disabled_percent,MedianAge
1267,42.642268,-73.252598,74276.99014,0.05565032,0.852922769,49.02498064,2.009638253,0.106159044,38.1
1270,42.51307,-73.050235,63899.38272,0.06097561,0.952442159,21.91857756,0.55655527,0.095533499,47.9
1301,42.631883,-72.59742,37914.38632,0.088282504,0.898813559,29.79583774,0.099774011,0.158104594,42.8
1330,42.525896,-72.80934,56093.6747,0.044217687,0.948207171,21.45712786,0.23439575,0.107351984,48.6
1331,42.560683,-72.183898,44150.82277,0.150059763,0.934479379,6.156485817,0.23079243,0.187873742,41
1337,42.690129,-72.585089,59082.83859,0.066431807,0.974191063,25.95389496,0.206086287,0.136450747,47.6
1338,42.580045,-72.800323,59098.7013,0.033783784,0.967914439,27.16827447,0.064171123,0.118343195,50.1
1339,42.63166,-72.878137,46750.32895,0.102891156,0.958970793,33.02258256,0.115438108,0.130244208,47.1
1340,42.675342,-72.740774,56862.57143,0.114431487,0.957671958,37.95888932,0.105820106,0.131165919,46.2
1341,42.509748,-72.699049,68409.31174,0.026845638,0.951991271,21.90260572,0.260229133,0.11152648,46.2
1342,42.539988,-72.618433,129426.4271,0.013592233,0.920911528,29.59834521,0.145442359,0.060424967,44.3
1343,42.651664,-72.990795,69720,0.06779661,0.973333333,36.21931396,0.64,0.171052632,43.5
1344,42.608914,-72.42456,46886.01286,0.098188751,0.957943925,19.51713922,0.08811749,0.104193971,41.6
1346,42.665724,-72.833294,60199.55157,0.051771117,0.95684803,35.15472173,0.123827392,0.165178571,49.3
1349,42.573938,-72.484196,35843.37079,0.119162641,0.940421632,22.74429887,0.009165903,0.136255924,41.8
1351,42.548217,-72.511166,66968.41026,0.049120679,0.933039648,27.03411875,0.166519824,0.134043498,45.1
1354,42.63841,-72.509488,67926.05634,0.039895924,0.959333333,23.42243793,0.139333333,0.147058824,46.8
1355,42.426036,-72.316418,60418.18182,0.021582734,0.963553531,18.30193264,0.465831435,0.106060606,47.5
1360,42.666519,-72.446882,61156.93312,0.059635069,0.961411609,19.28113533,0.106200528,0.137988087,44.8
1364,42.620458,-72.294444,38147.51861,0.119934283,0.931735475,8.764028294,0.241059104,0.186557789,41.3
1366,42.445872,-72.213524,68155.09804,0.039742213,0.974941269,17.69906681,0.10963195,0.116692427,47.7
1367,42.69587,-72.934949,51403.58744,0.117073171,0.971264368,39.33759739,0.132183908,0.120338983,50.2
1368,42.670469,-72.197026,47535.8,0.100584795,0.956383822,4.752943134,1.21887391,0.105943152,45.6
1370,42.601438,-72.739108,47518.86062,0.078997462,0.957149853,29.91031869,0.181929481,0.132743363,47.5
1373,42.464914,-72.61716,47852.50887,0.042721519,0.941086957,23.81277851,0.09673913,0.092096375,45.8
1375,42.466106,-72.555454,37838.89563,0.059157596,0.846362649,25.20875178,0.215798046,0.05801861,31.1
1376,42.593404,-72.540041,36603.93162,0.126927939,0.885839527,26.56188534,0.03926053,0.208341057,42.4
1378,42.666338,-72.344874,47486.7284,0.077205882,0.966408269,10.52214288,0.678294574,0.143974961,47.9
1379,42.554654,-72.408295,42166.04775,0.116687578,0.950799508,18.09771283,0.639606396,0.198083067,47.7
1420,42.582812,-71.80659,42073.27842,0.168862974,0.682202444,32.43674784,0.055011528,0.135772072,34.8
1430,42.655656,-71.922012,80240.30683,0.033970276,0.939727377,22.66564659,0.242568566,0.102731883,40.9
1431,42.673591,-71.834337,81227.9638,0.051983584,0.960962915,28.32846821,0.377033182,0.095375723,42.6
1432,42.562912,-71.568824,56496.79196,0.061285501,0.824798984,49.54701369,0.12822683,0.111794139,39.5
1434,42.534958,-71.611484,66531.25,0.134117647,0.671309192,47.44634262,0.093593315,0.088323353,29.6
1436,42.600122,-72.086316,79848.65568,0.168674699,0.95353717,11.54422958,0.322242206,0.09989083,42.1
1438,42.565092,-72.031569,39440.39409,0,0.951699463,16.54064332,0.688729875,0.370473538,40.4
1440,42.589966,-71.986054,40550.84049,0.164830597,0.870398585,19.26239844,0.198997395,0.166018158,40.7
1450,42.61619,-71.576808,124953.1841,0.025612159,0.935938381,46.52128682,0.211346985,0.044897959,42.5
1451,42.498546,-71.581862,159874.9708,0.00813498,0.921002739,43.30751903,0.298925637,0.063255439,46.8
1452,42.484168,-72.011197,82799.23372,0.048302872,0.964171611,24.80992267,0.237106344,0.09799909,41.6
1453,42.524468,-71.772212,51478.95739,0.128329131,0.755008194,37.89736215,0.087518039,0.125113773,40
1460,42.537958,-71.484974,105663.9976,0.030385415,0.923240699,48.67689301,0.208538772,0.08660534,43
1462,42.587142,-71.720924,77860.02608,0.076933369,0.937041444,38.18797523,0.185207218,0.113640693,43.7
1463,42.665524,-71.599356,81910.24541,0.062074284,0.952074454,41.02680231,0.167348004,0.095663375,41.6
1464,42.579502,-71.644512,55225.5742,0.158598266,0.795867425,45.38135236,0.103591735,0.105272501,39.2
1467,42.48442,-71.62897,235091.9192,0.003787879,0.914556962,42.31199936,0.193037975,0.015075377,48.9
1468,42.543162,-72.066854,60746.2106,0.045090909,0.957224571,15.30561983,0.61278289,0.126684636,41.4
1469,42.659557,-71.702288,79252.28838,0.042636457,0.952065873,34.30885039,0.253051022,0.077796706,41.3
1473,42.559479,-71.908706,73098.34315,0.054354179,0.94379552,25.49146296,0.295314003,0.080054645,42.8
1474,42.66967,-71.743376,75658.88457,0.12537092,0.955764706,32.62132577,0.179764706,0.045158053,42.8
1475,42.660866,-72.048898,57286.30498,0.125475285,0.91976631,13.78017711,0.367964946,0.136455818,38.7
1501,42.195675,-71.84607,70539.20358,0.089491405,0.93163297,11.41156202,0.122861586,0.106637445,43.6
1503,42.384234,-71.629366,87909.51111,0.066448292,0.947313329,31.13017781,0.181437544,0.078655579,46.1
1504,42.039526,-71.530657,72073.61152,0.085095917,0.947817416,12.23577199,0.058386882,0.084350721,39.8
1505,42.35397,-71.717353,113854.8292,0.038574698,0.923306544,26.75667937,0.155223881,0.065506184,44.5
1506,42.194498,-72.103822,58402.03636,0.079277865,0.963126844,15.8640551,0.086725664,0.133353046,43.6
1507,42.131775,-71.973205,87008.39844,0.079138297,0.942377321,5.34523532,0.17941607,0.079729835,41.2
1510,42.4132,-71.69127,51213.71977,0.123582648,0.799941202,34.494075,0.107379097,0.112626225,39.3
1515,42.207255,-72.048914,67278.50242,0.061302682,0.952359139,15.08179047,0.141090243,0.103417665,41.7
1516,42.054573,-71.754706,87239.34263,0.045486354,0.953294118,9.999798413,0.264,0.062040816,39.3
1518,42.106473,-72.114044,68875.27426,0.065625,0.938466711,6.918219938,0.051782112,0.107103012,41
1519,42.202961,-71.68107,99097.12997,0.03977926,0.921758908,11.72662937,0.096133434,0.062836901,40.5
1520,42.333798,-71.853266,99023.56935,0.049692571,0.923840823,25.24116055,0.19089805,0.077263468,42.4
1521,42.064504,-72.168424,57794.16499,0.08535896,0.950423216,7.667903156,0.107214833,0.083128583,42.6
1522,42.376355,-71.872314,85699.6748,0.024113475,0.941389728,27.62520002,0.264350453,0.086734694,41.1
1523,42.47212,-71.667642,77918.26585,0.107951356,0.825771564,39.8572493,0.16671063,0.065289913,39.4
1524,42.240144,-71.918765,63110.88546,0.103783555,0.918309438,14.07059262,0.07078853,0.10552982,40.7
1527,42.1908,-71.779474,63668.1431,0.083526438,0.928129247,13.72865501,0.064321305,0.112855292,42
1529,42.039469,-71.577323,75386.47166,0.125551741,0.963322884,9.732475047,0.176802508,0.115505336,37.8
1531,42.320452,-72.129492,68187.02703,0.046808511,0.968968969,27.53686993,0.112112112,0.08943863,43.3
1532,42.330073,-71.635176,109339.7456,0.031911565,0.859060403,23.01184468,0.125750618,0.089659004,42.5
1534,42.136202,-71.642674,75999.36181,0.089596228,0.937311312,6.077398527,0.165334754,0.08950557,40.2
1535,42.268925,-72.08293,55911.11708,0.104895105,0.957692308,21.72147444,0.117094017,0.119685374,41.7
1536,42.224812,-71.68933,74482.88154,0.0554521,0.87674216,15.15607228,0.084930314,0.089635454,39.9
1537,42.162944,-71.891157,50522.35529,0.095610343,0.947508897,5.721544763,0.120996441,0.108163265,41.7
1540,42.121482,-71.854026,65704.15973,0.067167128,0.9304756,3.340259968,0.093968648,0.101887815,40.6
1541,42.456909,-71.890806,103662.2361,0.021114865,0.960152359,34.11623925,0.224728977,0.04088785,46.8
1542,42.201258,-71.910758,51567.31017,0.131477185,0.924159855,8.523258948,0.072207084,0.088600118,40.2
1543,42.383117,-71.961566,81725.72555,0.035081101,0.94192901,28.67046908,0.210460304,0.116645963,39
1545,42.28678,-71.713616,90161.92503,0.053594107,0.776424261,21.19285835,0.09481855,0.081565379,40.4
1550,42.067572,-72.044007,35665.33644,0.198114918,0.685746755,2.360374527,0.115616963,0.156376366,38.3
1560,42.174762,-71.679842,75346.53409,0.051226551,0.761431412,10.0327116,0.129666446,0.080893855,35.4
1562,42.247962,-71.990742,51577.10793,0.117647059,0.946355236,15.74608517,0.046971253,0.125149292,41.7
1564,42.439322,-71.776608,98842.70463,0.039609333,0.952996926,37.42966678,0.163294057,0.081077597,44
1566,42.101636,-72.079806,81891.5911,0.05550793,0.933269781,4.171192287,0.184461392,0.091582288,41.9
1568,42.176133,-71.604529,106476.7982,0.034398535,0.942112299,6.673826986,0.160026738,0.082984752,41.5
1569,42.062542,-71.64365,73443.90435,0.057750107,0.947674847,5.335406867,0.200309529,0.077565192,41.2
1570,42.058201,-71.848067,44225.88883,0.184979714,0.874217212,8.200893721,0.054034711,0.151854995,40.9
1571,42.059683,-71.936768,61098.86755,0.089940999,0.937840211,8.012279438,0.079016681,0.107033639,38.3
1581,42.266153,-71.60922,95787.46389,0.055994369,0.751039842,17.30317922,0.203754378,0.077333333,39.8
1583,42.359146,-71.782384,69133.53917,0.103244309,0.88420498,28.13883233,0.138189962,0.097672838,45.1
1585,42.227596,-72.164598,67279.63576,0.10373317,0.95959596,19.61457617,0.260649978,0.116733245,46.2
1588,42.125659,-71.664119,59803.59828,0.0945345,0.936607418,4.565196147,0.049522244,0.110100714,39.4
1590,42.135437,-71.755846,101921.988,0.048937978,0.959549296,10.63761169,0.092394366,0.089008163,42.5
1602,42.274402,-71.847756,57840.10039,0.099274958,0.766422718,18.00478597,0.067049389,0.110795455,39.2
1603,42.244677,-71.844808,40242.18686,0.211960286,0.518678449,15.24867221,0.030829484,0.146724982,34.8
1604,42.249198,-71.764908,41601.30134,0.120842435,0.631946247,18.48581587,0.040574444,0.126242371,35.7
1605,42.288915,-71.79578,36187.47079,0.177009628,0.482628428,20.96568193,0.046642005,0.169800698,33.2
1606,42.313314,-71.796346,55183.50749,0.071168149,0.779472663,23.23376745,0.051528018,0.107527444,38.9
1607,42.225438,-71.78724,39888.04906,0.161629654,0.557059035,15.19848097,0.030774758,0.145098039,34.4
1608,42.258592,-71.803034,13929.27478,0.354969574,0.270576132,18.16369931,0.009773663,0.175660483,28.7
1609,42.28755,-71.83067,41593.36035,0.18089341,0.651576647,18.51448349,0.053253646,0.120891284,27.6
1610,42.242612,-71.810432,27429.63671,0.251813218,0.438839006,16.32318351,0.040885362,0.14467422,24.8
