,Annual Aggregate Family Income,zip code tabulation area
428,1282650700,01960
429,217423800,01966
430,205242300,01969
431,795281600,01970
432,303784200,01982
433,307267900,01983
434,200337600,01984
435,206821800,01985
436,476055600,02019
437,818560000,02021
438,438469800,02025
439,846531900,02026
440,462100200,02030
441,124542200,02032
442,567341200,02035
443,1164871300,02038
444,1155822500,02043
445,290190900,02045
446,,02047
447,844946700,02048
448,905731500,02050
449,667928900,02052
450,507295300,02053
451,246068700,02054
452,447833100,02056
453,448541000,02061
454,764430700,02062
455,755441800,02066
456,845021500,02067
457,36466600,02071
458,721826800,02072
459,712636900,02081
460,806259400,02090
461,423759000,02093
462,158061400,02108
463,204451500,02109
464,92839900,02110
465,262881800,02111
466,106486500,02113
467,301659500,02114
468,194959100,02115
469,967601600,02116
470,544014600,02118
471,278738300,02119
472,97342900,02120
473,299752000,02121
474,343838100,02122
475,815302800,02124
476,420413500,02125
477,419871000,02126
478,565940100,02127
479,553790000,02128
480,549376900,02129
481,903101700,02130
482,639033500,02131
483,907077800,02132
484,132527700,02134
485,442076900,02135
486,572987000,02136
487,1079984800,02138
488,652080800,02139
489,551357100,02140
490,256912700,02141
491,104497500,02142
492,445499800,02143
493,429291700,02144
494,409102400,02145
495,1077829400,02148
496,695114200,02149
497,438580100,02150
498,895624700,02151
499,445795800,02152
500,1311862900,02155
501,12681400,02163
502,1143480300,02169
503,370043900,02170
504,375768600,02171
505,864603200,02176
506,613812300,02180
507,1017104200,02184
508,1099875100,02186
509,318068500,02188
510,333257400,02189
511,448623600,02190
512,220527900,02191
513,104137700,02199
514,,02203
515,77091200,02210
516,131920900,02215
517,906810000,02301
518,616954000,02302
519,113882900,02322
520,722578300,02324
521,291089100,02330
522,727499200,02332
523,413359000,02333
524,189165700,02338
525,495833600,02339
526,287184000,02341
527,276390000,02343
528,589820600,02346
529,336517800,02347
530,441054900,02351
531,438818000,02356
532,,02357
533,567893400,02359
534,1585331200,02360
535,382112500,02364
536,,02366
537,99847100,02367
538,720706600,02368
539,384687900,02370
540,315203200,02375
541,184871100,02379
542,371026400,02382
543,881012500,02420
544,1065904200,02421
545,1074576200,02445
546,1185684700,02446
547,515518800,02451
548,295769200,02452
549,567288000,02453
550,,02457
551,525167100,02458
552,1151691400,02459
553,462139100,02460
554,358110700,02461
555,85529800,02462
556,87671700,02464
557,776007500,02465
558,327664900,02466
559,921099600,02467
560,425706700,02468
561,906327500,02472
562,879002700,02474
563,652448200,02476
564,1174547200,02478
565,1217998900,02481
566,579439600,02482
567,1196710400,02492
568,1103144700,02493
569,423183100,02494
570,269425300,02532
571,36697900,02534
572,37296800,02535
573,509302200,02536
574,182771500,02537
575,58960600,02538
576,111282100,02539
577,323818400,02540
578,15575100,02542
579,28200100,02543
580,4850400,02553
581,320021800,02554
582,100654100,02556
583,100746500,02557
584,22458400,02558
585,102269000,02559
586,12189900,02561
587,82586400,02562
588,298258000,02563
589,13488500,02564
590,60468200,02568
591,215219700,02571
592,60350800,02575
593,118573500,02576
594,,02584
595,191627400,02601
596,64645100,02630
597,241128500,02631
598,288003700,02632
599,139667500,02633
600,120271100,02635
601,,02637
602,91243800,02638
603,58979900,02639
604,17673900,02641
605,130639800,02642
606,,02643
607,118991700,02644
608,217342900,02645
609,65290000,02646
610,7495200,02647
611,206979200,02648
612,374004300,02649
613,40706500,02650
614,,02651
615,22547200,02652
616,197490600,02653
617,196998900,02655
618,35866100,02657
619,22612100,02659
620,131749300,02660
621,,02663
622,191357200,02664
623,16395000,02666
624,75779400,02667
625,93757100,02668
626,7724800,02669
627,36491400,02670
628,33114800,02671
629,,02672
630,209457900,02673
631,192401400,02675
632,120948200,02702
633,1014124300,02703
634,1576100,02713
635,85408200,02715
636,118299100,02717
637,165668900,02718
638,334282200,02719
639,512823100,02720
640,320094200,02721
641,173175900,02723
642,198194600,02724
643,53064300,02725
644,396013400,02726
645,176994800,02738
646,173671700,02739
647,559073800,02740
648,265533800,02743
649,144534300,02744
650,440743800,02745
651,137757200,02746
652,429510100,02747
653,381198400,02748
654,790558600,02760
655,249026700,02762
656,52551400,02763
657,121159800,02764
658,501945700,02766
659,373630500,02767
660,359288200,02769
661,175041900,02770
662,412601700,02771
663,426036700,02777
664,188136600,02779
665,932219700,02780
666,463618000,02790
667,,02791
668,13559000,02802
669,69592900,02804
670,803025200,02806
671,32662500,02807
672,57470900,02808
673,559098600,02809
674,67107600,02812
675,216306600,02813
676,192556000,02814
677,7547600,02815
678,781477700,02816
679,189752800,02817
680,814508300,02818
681,194442800,02822
682,160168100,02825
683,12402400,02826
684,59513200,02827
685,220124400,02828
686,152438400,02830
687,87358500,02831
688,121022300,02832
689,21371300,02833
690,244161400,02835
691,,02836
692,135232200,02837
693,60852600,02838
694,37368800,02839
695,529891300,02840
696,,02841
697,428850000,02842
698,744879300,02852
699,272340400,02857
700,33230400,02858
701,149583700,02859
702,548653400,02860
703,481258600,02861
704,184990300,02863
705,950218100,02864
706,543396100,02865
707,584698300,02871
708,,02872
709,,02873
710,221788100,02874
711,8582800,02875
712,,02876
713,478118600,02878
714,687399300,02879
715,91609900,02881
716,404450100,02882
717,255739000,02885
718,698363200,02886
719,439824000,02888
720,680951900,02889
721,529257100,02891
722,138469600,02892
723,546434200,02893
724,17775700,02894
725,563382400,02895
726,334690100,02896
727,39246300,02898
728,91595300,02903
729,478345500,02904
730,372376200,02905
731,871915100,02906
732,251578200,02907
733,477524900,02908
734,414864700,02909
735,388560400,02910
736,280561800,02911
737,,02912
738,335244500,02914
739,309302000,02915
740,223995800,02916
741,339473900,02917
742,617739300,02919
743,729758600,02920
744,411029300,02921
745,476923000,03031
746,168129800,03032
747,171857400,03033
748,123060700,03034
749,161206100,03036
750,130376500,03037
751,814721900,03038
752,174647300,03042
753,52757900,03043
754,138710500,03044
755,352172300,03045
756,89522900,03046
757,39038500,03047
758,79432500,03048
759,340055500,03049
760,704358700,03051
761,267943700,03052
762,798987900,03053
763,810385300,03054
764,363159600,03055
765,84515300,03057
766,431868700,03060
767,807633700,03062
768,438243300,03063
769,377025100,03064
770,177238000,03070
771,137139800,03071
772,397673700,03076
773,212896000,03077
774,868289500,03079
775,43248800,03082
776,29062800,03084
777,94016700,03086
778,595991800,03087
779,48749700,03101
780,489629600,03102
781,553066400,03103
782,710890800,03104
783,379597300,03106
784,264130800,03109
785,981922900,03110
786,8396700,03215
787,50753800,03216
788,24364400,03217
789,26326400,03218
790,146074500,03220
791,48678100,03221
792,108771200,03222
793,89507800,03223
794,75223900,03224
795,93334300,03225
796,32205800,03226
797,24564400,03227
798,192853100,03229
799,22969200,03230
800,5236100,03231
801,2441300,03233
802,130894100,03234
803,127807100,03235
804,51695200,03237
805,929100,03238
806,22291400,03240
807,16638900,03241
808,100815500,03242
809,24219400,03243
810,166176800,03244
811,57748500,03245
812,313503500,03246
813,222398500,03249
814,14377700,03251
815,193785300,03253
816,199198500,03254
817,47558000,03255
818,46455900,03256
819,124926700,03257
820,66932700,03258
821,8154700,03259
822,22532300,03260
823,114745500,03261
824,24841700,03262
825,69053500,03263
826,97178300,03264
