,total,disabled,zipcode
1267,0,0,4644
1268,68,10,4645
1269,86,4,4646
1270,447,59,4648
1271,1267,316,4649
1272,162,61,4650
1273,1940,377,4652
1274,439,102,4653
1275,3203,645,4654
1276,933,153,4655
1277,335,90,4657
1278,1264,245,4658
1279,1326,142,4660
1280,420,42,4662
1281,1112,176,4664
1282,1230,245,4666
1283,1635,245,4667
1284,1691,437,4668
1285,130,35,4669
1286,524,98,4671
1287,113,18,4673
1288,630,88,4674
1289,373,29,4675
1290,956,181,4676
1291,234,56,4677
1292,1832,244,4679
1293,1098,229,4680
1294,1276,258,4681
1295,62,0,4683
1296,1638,274,4684
1297,311,33,4685
1298,93,24,4686
1299,473,61,4691
1300,490,84,4693
1301,2246,467,4694
1302,9702,2387,4730
1303,1746,395,4732
1304,261,87,4733
1305,812,142,4734
1306,623,109,4735
1307,9592,1849,4736
1308,862,244,4739
1309,1286,214,4740
1310,0,0,4741
1311,3463,741,4742
1312,4532,813,4743
1313,1020,174,4745
1314,481,106,4746
1315,1529,400,4747
1316,2399,505,4750
1317,3466,723,4756
1318,2749,424,4757
1319,1444,321,4758
1320,704,178,4760
1321,447,86,4761
1322,591,119,4762
1323,676,165,4763
1324,50,11,4764
1325,1334,309,4765
1326,417,73,4766
1327,427,107,4768
1328,9490,1922,4769
1329,741,144,4772
1330,503,80,4773
1331,703,210,4774
1332,880,168,4776
1333,451,134,4777
1334,307,87,4779
1335,820,133,4780
1336,507,87,4781
1337,340,41,4783
1338,2813,846,4785
1339,1948,446,4786
1340,645,199,4787
1341,7093,1638,4841
1342,4819,563,4843
1343,1550,163,4847
1344,598,83,4848
1345,3805,478,4849
1346,42,5,4851
1347,45,0,4852
1348,392,50,4853
1349,1661,265,4854
1350,316,115,4855
1351,3323,303,4856
1352,1441,247,4858
1353,323,45,4859
1354,1980,257,4860
